Classifier;Class;Precision;Recall;F1-Score;Accuracy
Random Forest;hiçbiri;0.47844827586206895;0.511520737327189;0.49443207126948774;0.595
Random Forest;nefret;0.4272300469483568;0.4619289340101523;0.44390243902439025;0.595
Random Forest;saldırgan;1.0;0.8333333333333334;0.9090909090909091;0.595
Random Forest;macro avg;0.6352261076034752;0.6022610015568916;0.6158084731282624;0.595
Random Forest;weighted avg;0.6233126585181588;0.595;0.606385748406988;0.595
XGBoost;hiçbiri;0.5173913043478261;0.5483870967741935;0.5324384787472036;0.62
XGBoost;nefret;0.45794392523364486;0.49746192893401014;0.4768856447688564;0.62
XGBoost;saldırgan;0.9935897435897436;0.8333333333333334;0.9064327485380117;0.62
XGBoost;macro avg;0.6563083243904049;0.6263941196805124;0.6385856240180239;0.62
XGBoost;weighted avg;0.6454942643703311;0.62;0.6301368552261302;0.62
LightGBM;hiçbiri;0.5;0.5391705069124424;0.5188470066518847;0.6083333333333333
LightGBM;nefret;0.44019138755980863;0.467005076142132;0.45320197044334976;0.6083333333333333
LightGBM;saldırgan;0.9936305732484076;0.8387096774193549;0.9096209912536443;0.6083333333333333
LightGBM;macro avg;0.6446073202694055;0.6149617534913098;0.6272233227829596;0.6083333333333333
LightGBM;weighted avg;0.6333883166224769;0.6083333333333333;0.6184334883232945;0.6083333333333333
Logistic Regression;hiçbiri;0.49851632047477745;0.7741935483870968;0.6064981949458483;0.6233333333333333
Logistic Regression;nefret;0.4722222222222222;0.25888324873096447;0.3344262295081967;0.6233333333333333
Logistic Regression;saldırgan;1.0;0.8333333333333334;0.9090909090909091;0.6233333333333333
Logistic Regression;macro avg;0.6569128475656666;0.6221367101504649;0.6166717778483181;0.6233333333333333
Logistic Regression;weighted avg;0.6453430322013408;0.6233333333333333;0.6109716410121215;0.6233333333333333
Gradient Boosting;hiçbiri;0.4939271255060729;0.5622119815668203;0.5258620689655172;0.6
Gradient Boosting;nefret;0.42346938775510207;0.4213197969543147;0.4223918575063613;0.6
Gradient Boosting;saldırgan;0.9872611464968153;0.8333333333333334;0.9037900874635568;0.6
Gradient Boosting;macro avg;0.6348858865859968;0.6056217039514894;0.617348004645145;0.6
Gradient Boosting;weighted avg;0.6237270481183009;0.6;0.60904703527082;0.6
Support Vector Machine (SVM);hiçbiri;0.48735632183908045;0.9769585253456221;0.6503067484662577;0.6183333333333333
Support Vector Machine (SVM);nefret;0.4;0.02030456852791878;0.03864734299516908;0.6183333333333333
Support Vector Machine (SVM);saldırgan;1.0;0.8333333333333334;0.9090909090909091;0.6183333333333333
Support Vector Machine (SVM);macro avg;0.6291187739463602;0.6101988090689581;0.5326816668507787;0.6183333333333333
Support Vector Machine (SVM);weighted avg;0.6175938697318007;0.6183333333333333;0.5297016667968922;0.6183333333333333
k-Nearest Neighbors;hiçbiri;0.49206349206349204;0.5714285714285714;0.5287846481876333;0.6066666666666667
k-Nearest Neighbors;nefret;0.4427083333333333;0.43147208121827413;0.4370179948586118;0.6066666666666667
k-Nearest Neighbors;saldırgan;0.9935897435897436;0.8333333333333334;0.9064327485380117;0.6066666666666667
k-Nearest Neighbors;macro avg;0.6427871896621896;0.6120779953267262;0.624078463861419;0.6066666666666667
k-Nearest Neighbors;weighted avg;0.6313316862535612;0.6066666666666667;0.6157255081198886;0.6066666666666667
Artificial Neural Network (ANN) + SMOTE+Tomek Links;Overall;;;;0.675
